current_temp,humidity (%),pressure_msl (hPa),wind_speed (m/s),cloud_cover (%),hour,day_of_week,month,desc,current_feels_like,time,city,time,predicted_temperature
30.79,60.0,1009.0,5.93,70.0,12.0,1.0,10.0,Broken Clouds,34.4,2025-10-07 12:37 PM,Chennai,2025-10-07 13:00:00,29.272329473495486
,,,,,,,,,,,,2025-10-07 14:00:00,27.14156188964844
,,,,,,,,,,,,2025-10-07 15:00:00,26.157538545131686
,,,,,,,,,,,,2025-10-07 16:00:00,25.599861693382266
,,,,,,,,,,,,2025-10-07 17:00:00,25.265490007400516
,,,,,,,,,,,,2025-10-07 18:00:00,25.150017654895784
,,,,,,,,,,,,2025-10-07 19:00:00,25.168433952331544
,,,,,,,,,,,,2025-10-07 20:00:00,25.28779504299164
,,,,,,,,,,,,2025-10-07 21:00:00,25.592192935943604
,,,,,,,,,,,,2025-10-07 22:00:00,25.66900417804718
,,,,,,,,,,,,2025-10-07 23:00:00,25.609892368316654
,,,,,,,,,,,,2025-10-08 00:00:00,25.38585538864136
,,,,,,,,,,,,2025-10-08 01:00:00,25.197831535339358
,,,,,,,,,,,,2025-10-08 02:00:00,24.99668667316437
,,,,,,,,,,,,2025-10-08 03:00:00,24.628491187095644
,,,,,,,,,,,,2025-10-08 04:00:00,24.72076497077942
,,,,,,,,,,,,2025-10-08 05:00:00,25.070254015922547
,,,,,,,,,,,,2025-10-08 06:00:00,25.496018862724306
,,,,,,,,,,,,2025-10-08 07:00:00,25.78373316526413
,,,,,,,,,,,,2025-10-08 08:00:00,26.091389226913453
,,,,,,,,,,,,2025-10-08 09:00:00,26.21752282381058
,,,,,,,,,,,,2025-10-08 10:00:00,26.29217599630356
,,,,,,,,,,,,2025-10-08 11:00:00,26.335465812683108
,,,,,,,,,,,,2025-10-08 12:00:00,26.28413555622101
