time,predicted_temperature
2025-10-07 13:00:00,20.621941301226617
2025-10-07 14:00:00,19.874656206369398
2025-10-07 15:00:00,19.21455714702606
2025-10-07 16:00:00,18.593459072709084
2025-10-07 17:00:00,17.93465561568737
2025-10-07 18:00:00,17.23513746857643
2025-10-07 19:00:00,16.467069828510283
2025-10-07 20:00:00,15.602012676000594
2025-10-07 21:00:00,14.750551605224608
2025-10-07 22:00:00,13.815130600333212
2025-10-07 23:00:00,13.366237947344779
2025-10-08 00:00:00,12.847994437813758
2025-10-08 01:00:00,12.338431721925735
2025-10-08 02:00:00,11.844515597820282
2025-10-08 03:00:00,11.481363686919211
2025-10-08 04:00:00,11.222568413615226
2025-10-08 05:00:00,11.23525602519512
2025-10-08 06:00:00,11.585128012299537
2025-10-08 07:00:00,12.432935845851897
2025-10-08 08:00:00,14.07583830654621
2025-10-08 09:00:00,15.73921747803688
2025-10-08 10:00:00,17.238562297821044
2025-10-08 11:00:00,18.575191596150397
2025-10-08 12:00:00,19.509598314762115
