time,predicted_temperature
2025-10-07 13:00:00,24.440448457002642
2025-10-07 14:00:00,24.084021502733233
2025-10-07 15:00:00,23.763735973834994
2025-10-07 16:00:00,23.374208414554598
2025-10-07 17:00:00,22.993273848295214
2025-10-07 18:00:00,22.66052409410477
2025-10-07 19:00:00,22.365776145458224
2025-10-07 20:00:00,22.148560667037966
2025-10-07 21:00:00,21.996632301807406
2025-10-07 22:00:00,21.898827159404757
2025-10-07 23:00:00,21.83692606687546
2025-10-08 00:00:00,21.75126489400864
2025-10-08 01:00:00,21.66959323883057
2025-10-08 02:00:00,21.667871260643008
2025-10-08 03:00:00,21.65829738378525
2025-10-08 04:00:00,21.788902187347414
2025-10-08 05:00:00,22.14616760015488
2025-10-08 06:00:00,22.795091861486437
2025-10-08 07:00:00,23.858395689725878
2025-10-08 08:00:00,24.74592175483704
2025-10-08 09:00:00,25.4933455824852
2025-10-08 10:00:00,25.962162995338442
2025-10-08 11:00:00,26.123675698041918
2025-10-08 12:00:00,26.03355588912964
