time,predicted_temperature
2025-10-07 13:00:00,25.83242087364197
2025-10-07 14:00:00,25.30797258615494
2025-10-07 15:00:00,25.05659077167511
2025-10-07 16:00:00,24.823334431648256
2025-10-07 17:00:00,24.625682163238526
2025-10-07 18:00:00,24.503203558921815
2025-10-07 19:00:00,24.485998797416688
2025-10-07 20:00:00,24.549243283271792
2025-10-07 21:00:00,24.675774383544923
2025-10-07 22:00:00,24.973055267333987
2025-10-07 23:00:00,25.06419157981873
2025-10-08 00:00:00,25.026399540901185
2025-10-08 01:00:00,24.918677484989168
2025-10-08 02:00:00,24.953851437568666
2025-10-08 03:00:00,24.95273027420044
2025-10-08 04:00:00,24.77427436113358
2025-10-08 05:00:00,25.147078168392184
2025-10-08 06:00:00,25.64515737295151
2025-10-08 07:00:00,25.941733622550966
2025-10-08 08:00:00,25.900930750370026
2025-10-08 09:00:00,25.861075091362
2025-10-08 10:00:00,25.76486704349518
2025-10-08 11:00:00,25.72296611070633
2025-10-08 12:00:00,25.68528075218201
