time,predicted_temperature
2025-10-07 13:00:00,24.66923277080059
2025-10-07 14:00:00,24.30657864511013
2025-10-07 15:00:00,23.741202151775358
2025-10-07 16:00:00,22.898752751946446
2025-10-07 17:00:00,21.991623535752296
2025-10-07 18:00:00,21.15236417353153
2025-10-07 19:00:00,20.363271430134773
2025-10-07 20:00:00,19.748925471305846
2025-10-07 21:00:00,19.376123997569085
2025-10-07 22:00:00,19.112538883090018
2025-10-07 23:00:00,18.85086027085781
2025-10-08 00:00:00,18.49123663008213
2025-10-08 01:00:00,18.00525487810373
2025-10-08 02:00:00,17.361128459870816
2025-10-08 03:00:00,17.06474916934967
2025-10-08 04:00:00,17.819639709591865
2025-10-08 05:00:00,19.305006179213525
2025-10-08 06:00:00,20.801690727472305
2025-10-08 07:00:00,22.144541072845456
2025-10-08 08:00:00,23.248912987113
2025-10-08 09:00:00,23.864251831173895
2025-10-08 10:00:00,24.155755618214606
2025-10-08 11:00:00,24.11425870656967
2025-10-08 12:00:00,23.8942467212677
